# index   relaxed_energy_eV
0.000000000000000000e+00 -4.770802401562967816e+02
1.000000000000000000e+00 -4.771248841218131815e+02
2.000000000000000000e+00 -1.430979420493182488e+03
3.000000000000000000e+00 -1.425371140002000629e+03
4.000000000000000000e+00 -1.427002993825907652e+03
5.000000000000000000e+00 -1.423017354071385171e+03
6.000000000000000000e+00 -1.423040613800569190e+03
7.000000000000000000e+00 -1.423100190613906079e+03
8.000000000000000000e+00 -4.718236037609436266e+02
9.000000000000000000e+00 -2.353019760586115012e+02
1.000000000000000000e+01 -4.729578923402955866e+02
1.100000000000000000e+01 -4.724082853705751290e+02
1.200000000000000000e+01 -4.766495430501168471e+02
1.300000000000000000e+01 -1.418358001332245522e+03
1.400000000000000000e+01 -4.738220335825134839e+02
1.500000000000000000e+01 -1.351412367116534597e+03
1.600000000000000000e+01 -1.600348165383547894e+03
1.700000000000000000e+01 -8.070275213318450369e+02
