# index   relaxed_energy_eV
0.000000000000000000e+00 -4.770531822455529891e+02
1.000000000000000000e+00 -4.770979836130297826e+02
2.000000000000000000e+00 -1.430898367465607635e+03
3.000000000000000000e+00 -1.425278065161750874e+03
4.000000000000000000e+00 -1.426912606514324807e+03
5.000000000000000000e+00 -1.422918084543956184e+03
6.000000000000000000e+00 -1.422942045869848016e+03
7.000000000000000000e+00 -1.423002416629481786e+03
8.000000000000000000e+00 -4.717855031183771075e+02
9.000000000000000000e+00 -2.352833044295309435e+02
1.000000000000000000e+01 -4.729271643851554359e+02
1.100000000000000000e+01 -4.723768334790166818e+02
1.200000000000000000e+01 -4.766222344591140541e+02
1.300000000000000000e+01 -1.418279430775737637e+03
1.400000000000000000e+01 -4.737967307251240072e+02
1.500000000000000000e+01 -1.351369973256647881e+03
1.600000000000000000e+01 -1.599236042705643740e+03
1.700000000000000000e+01 -8.069552163407614671e+02
